CPU Low (ns)	CPU Medium (ns)	CPU High (ns)	CPU Medium & Memory Intensity (ns)	CPU High & Memory Intensity (ns)
9036382	8511776	9995034	8075791	9940858
8990326	9421756	8340668	10576459	9300821
9935008	8226896	10010183	8344456	9882712
8754768	11258301	8958984	9208608	10778582
10346718	7631112	9065342	10810500	7971376
7907830	10361460	9993385	8583160	10981663
9118136	8524326	8636607	10403402	74176537
11973028	9546461	9925543	9617680	8870490
7077320	9002668	9048938	9393278	10076729
10863179	10095618	9402763	53039814	10828900
8100206	8547101	9006898	9531581	9036909
10896838	9294565	9979506	10033602	8958750
9108296	9532715	10652233	8467529	9165441
8672969	8018347	8354813	9990800	10917329
9168137	11042302	8940021	9113827	8933350
10816835	8522713	9075962	9792824	9949148
9223212	9594419	9905424	9581529	9319128
10038384	9068986	8671080	9072659	10829332
8899087	9348958	11506039	9354417	7975136
10809735	9870834	7864368	8994510	10061332
9249066	9060054	8932327	10080311	9954136
10001229	9040871	10043768	8272863	10019170
9057552	9466021	9026375	10688408	8840907
10692392	9028748	8995984	7976378	10131948
8295519	10423955	61696091	9131413	9939875
9928724	8045729	8906354	9434310	10128944
9052069	9570754	9405668	9478833	9894946
10009889	61184525	8587570	9581920	11064829
7963406	9192040	11014702	8471243	8139559
10056869	9137812	8485248	9877413	8854597
9939107	8892242	8910976	9056200	9953408
10148889	9503588	11087790	9589690	9029842
7984943	9564380	8556414	8960649	11017196
10908827	8503983	9340478	9377384	7910835
8042372	11484276	9128630	9062973	11048157
8960402	7887217	9576826	9919636	9034456
63975057	9717385	8316279	8128493	9907394
10107025	10238627	10972971	9988301	11017830
9933620	8126177	8103915	8949385	7988836
8947803	9901285	9643590	9946337	10060846
9056335	9084150	8242548	8606544	10890742
11001467	8944740	10640495	9472428	13270587
8996949	10090673	8429577	11054627	3908298
9994205	7625420	10037041	8057482	11892930
10022602	11897351	8999956	8820815	9174048
9669891	7359147	8910951	9057592	7267382
9271784	10104551	9634939	9958569	15545493
10078808	8717674	7464448	8636641	5051437
9894647	9256861	24913454	9393032	12160589
8044922	6615873	4666848	9584243	8836151
12969877	12956770	9958742	8965546	9012724
7020349	9449080	9346857	9473683	10976824
9913895	8641576	9055120	2031501	9160881
9822434	7928287	10036975	5262972	9033380
9264383	10999984	7987461	10687764	10940526
8977851	8926248	10993842	9006330	8795072
8967829	8510246	8597603	9062711	10172638
10072929	10495250	9341766	9884891	9817670
8950080	7382955	7975223	7977928	10171418
9139251	11150033	11065377	10089191	8878871
9832827	9902065	7932331	8956461	10030425
9101182	6978702	10095033	8974507	10148485
9061946	10667927	8917012	9986921	8888909
9574998	7289737	10129193	8624654	11131263
9270668	13182029	8636442	9976844	8915690
9002021	5948591	9305888	9040526	9867490
9025644	10579742	10993792	10459919	9070897
10033898	8979661	7036456	9046466	9973763
8970890	9347555	11010528	8925833	11130622
10031626	10033810	8603071	10085280	7953952
7969594	7601452	9442818	8934640	10983465
9798441	10950813	9966026	9009708	8128675
9904687	8635817	7510219	8985531	11795266
8282208	9386474	10045809	9093247	7991245
10029071	9420825	10374182	9995848	9057700
9994531	8565627	8050975	8940889	11041454
8975918	10452198	10587333	8973542	9981226
10778735	8614876	8052236	10043904	9016178
9288457	9479376	10278245	8979052	9963717
9057124	9536823	7727317	9031119	9891951
10605112	7923075	10240611	9537056	8994585
9295628	11609131	9806197	9463594	11048899
9984226	7465050	7964177	8535297	8053707
9699589	10335248	9927715	9388483	10880481
10114428	8978725	9971694	9995582	9057405
9250791	9076298	8066678	9101294	10059850
9047376	8913549	9918190	9051973	10076959
9884620	10100569	9041157	9978525	9823522
8019923	8979565	8421640	8453202	8992623
10013741	9053660	9932594	9445051	10019440
11073541	10002902	9677337	9073495	10045909
6954210	8945582	8327330	9942419	7949140
9663939	8913870	10005496	7539294	11057659
10455261	9707597	9947395	9500808	8065219
7851215	9352913	9040919	9868085	10989556
941118	8966932	8661739	9013845	47046472
7072621	10239278	9915983	10062482	11815837
10655440	7751695	8381866	9071553	10140957
8532873	11119506	10067509	8471689	8966189
9755433	7901926	7989108	10414679	10039921
9017645	9675258	11008862	9041813	8989170
9731615	9093035	8061634	9124151	11024968
8996813	10225121	9864987	70934365	8802608
9235462	7616848	9007740	8924487	9285228
9793740	10443663	8793720	10040185	10788553
8935138	8674905	10836030	9014927	9203034
9291118	10033883	7382319	10035073	10929078
8992568	9318727	10024245	7921188	8908540
10062061	8447005	9010771	10034472	9040949
8931764	10173221	9005787	8924273	10084650
9185300	10395957	9574311	10106771	11128178
10011593	9928674	9347996	8003586	7803760
9590588	9546783	8996857	9892716	10893410
9264518	8948222	9068712	8997644	9015159
8978801	9237338	10000915	9001292	11234230
9970169	10906032	9027546	10056082	7740755
9741306	10105625	51731348	8980954	11107986
10267910	9409590	9219742	9048467	9011051
9131871	63785986	9626000	9917089	9890919
11958607	9679075	8409525	8239599	8985635
7924492	9071665	8994673	9839970	11025104
9986909	9345380	10037908	8929431	8926214
10151721	9773457	10652744	10019744	11146695
8628722	11803478	8863946	8928604	7886116
10246051	7990139	10491953	9085714	10138822
10002453	9928500	8685098	10015972	10931504
