CPU Low (ns)	CPU Medium (ns)	CPU High (ns)	CPU Medium & Memory Intensity (ns)	CPU High & Memory Intensity (ns)
358732	137769	9722769	376730	9923076
217072	128275	9056109	310066	9245593
239251	105442	9685914	3546841	9757685
101976	106246	9957193	813323	9006604
180127	107148	9075409	122980	10059709
362636	108585	9087848	424646	8915858
204503	112000	9823047	5325470	9068268
226405	111792	10053553	13931630	7908039
292808	104031	9403417	204670	13007308
257975	122497	8969797	68406	7017458
186636	115769	9703046	289530	10143294
200997	104967	9201943	762525	11051734
229406	117036	9812060	299947	6796429
528536	107876	9855930	1026708	10333063
222786	108385	9510129	126050	9081170
231476	109280	10483768	687990	9559883
279801	110679	9018367	739014	10121530
200767	239305	10053555	1801065	25028089
201476	130684	7992154	528509	2901063
318650	109201	11005060	93446	11306272
152377	108910	8989219	759917	9770094
394307	109240	9018842	4734100	9879879
255332	109509	9919129	1002844	9100634
354898	109978	8019799	362166	8913675
152767	111992	10035585	8497052	10028110
215897	235703	9975335	1099378	4925693
205073	83204	8052204	740915	2001124
215288	75114	11130509	1333846	10994543
236698	105887	8828877	954414	9018097
358766	106503	7997665	12877483	9037934
256269	107602	9605591	173443	10006378
465199	6840556	10335820	431464	8966864
242000	10651350	10005495	5444403	10083407
210738	9273785	9013092	10164941	8167206
159263	9674153	10343546	9798398	9756767
281918	9082421	9036026	10391965	11040881
700197	9944798	9657875	7813719	7893800
202769	8469701	10042413	743113	9148169
249855	3605692	9421617	7507285	9904391
164872	3964385	1534332	167275	9044511
186106	10972657	6432301	246661	9231364
212311	8038499	10699869	790843	10117819
161422	5172429	8096331	808060	9586567
323135	136371	10748894	2029217	10132317
280242	936882	8984596	7398299	9200679
242668	10885527	9059166	1153775	10561377
151453	9749716	8985136	1172079	8046187
274212	8500419	9931993	853254	11087444
226657	9670354	8114746	129897	8963543
213767	9835128	10927173	388529	9940933
230747	3364527	7946038	664350	7934548
176813	3731016	9958553	237242	10097511
253574	9903340	9445928	12475304	9968158
602503	9992060	9651145	3922884	8988196
192991	8164006	8998275	2028183	8910676
146741	9846015	9155701	13031430	9079456
216568	9417206	9764558	8011409	9926991
215686	8784959	9299647	8961591	10001592
165888	10816589	9981375	951903	8356893
218573	9242549	9684399	515874	10695142
213198	9711060	9293197	4536860	8952299
207806	10068628	10745457	392857	9026309
199526	11075105	8943497	538529	10031991
189059	7844336	9277000	8012990	9948832
227068	12053745	9761688	434478	8999321
202879	8153209	9454875	8020870	9008273
166356	10023417	8754262	10500754	11000487
192055	8083284	9819625	9026945	8014717
199242	11854714	9221912	89178	11010167
251083	7240234	9730001	169783	8032329
206043	10568783	8955676	159105	10351307
301755	9137442	9000478	268345	8820178
138559	8982678	9990370	2581486	9307507
210411	9933409	9111786	760717	8916389
62011	8189171	9895995	380052	10544825
88554	10796831	8944601	676085	9460132
236443	8215705	9358048	58487	8982992
223062	9821169	9950832	3801234	9497027
233470	9916570	9745649	1052059	9024410
138703	8067586	9110121	130422	9387349
163353	10200057	10925548	873997	10670679
172935	9038184	9103480	151801	9120335
168304	9657188	9366248	3840320	3904543
260993	10186827	8653223	1038775	1979042
228454	9179787	10858081	9919195	82967
203461	9078216	8975511	96650	134538
230537	8998684	4080790	176899	7889500
251153	9580978	3468282	101774	900136
182882	9037904	9857070	144708	229428
170288	9092649	9616109	2706491	726090
160204	11264732	9939805	12839155	4012302
190000	8667539	9046077	486179	126626
258425	9376046	9964234	402982	77330
109392	9632749	9099775	1014929	127049
147946	8146982	9884631	114748	79117
364509	11006635	8978897	148922	267626
214205	8915323	10059903	11805047	5356141
242365	8296168	131173	8914820	12999330
225043	9622245	6819627	9271143	7132765
219293	9049107	10264331	721863	12013012
288650	9885705	9913219	239786	5864902
335040	9122110	9846556	4793280	12965524
524763	9000573	9967852	11993935	14999415
223345	8946942	9014677	9037287	12246690
348196	10025187	9995127	8976085	9726967
180697	8924570	7980197	10061471	224474
252484	9187878	10186283	9142438	412215
253870	9187075	8986715	112571	4193181
129264	9589443	10173543	329157	12054318
298193	9032802	8980448	732932	8974482
223400	10006031	8950033	221762	8527137
199888	7930825	9691559	2361303	9502823
185176	10256685	9064025	12090962	9897500
161190	10808969	10033938	9068115	8009479
212468	7020513	8969063	2866947	10013566
264244	9928931	9932921	169870	25057102
246599	8931194	9019129	525555	4987735
277874	10073510	10976111	1471572	12192175
279933	7918079	9089743	408673	7210482
220007	9021357	7882150	681553	11716828
212267	10087411	12998240	113943	7905494
179014	11176340	8146508	551079	11039736
293820	7664311	9841758	142734	7965970
302178	12034276	7505146	891595	9924769
310103	7241502	9787930	183971	8977402
302630	12190533	9981506	574249	10003189
252053	8652441	9082269	10319008	8956534
222020	9882141	9740944	236832	9093628
208438	9110730	9915789	8658787	9937534
174416	9906837	7494332	9186834	10030069
241575	10046813	13508820	9821143	8087719
276700	8967659	6007590	9089268	12864663
288487	11034610	10947369	201233	5084904
466554	4078193	9079467	461576	11998336
194774	908271	8998101	5294964	8029787
466490	9246063	9309182	1335092	11107393
167486	13642455	10647239	709490	8860483
194017	9027007	9020092	7029759	9827973
259955	4354496	10060070	149819	9139215
294721	1036325	8179426	146586	9923360
327006	110593	10989059	5570830	9071201
220259	503911	8803632	131494	8945571
186145	10128550	9929678	86764	9973723
223903	10899607	9308021	56458	9988972
252435	8976821	9781710	373494	8988302
242686	9939540	10013176	44707	7920446
220356	9016474	8919986	813924	10044002
