CPU Low (ns),CPU Medium (ns),CPU High (ns),CPU Medium & Memory Intensity (ns),CPU High & Memory Intensity (ns)
48279,10089354,9023098,899860,10045083
112303,9136415,9920936,249044,9210543
166922,8977110,9047275,462684,9690684
64888,11853122,8234710,252140,9929881
118642,8006497,10720667,1037059,9134172
106735,4996254,9073001,274247,9857813
107058,1977201,9940147,1768900,10092205
108382,7958780,8098828,277472,8938427
108904,386872,10878939,845185,9990133
113322,3674341,9121665,737328,10075066
112337,973564,8053074,1197720,8896225
137467,2009609,11821214,228766,9189316
60629,1325116,7175631,190086,8792955
104366,564816,11857077,486756,10097464
105630,4084378,8948448,1194536,8998416
106439,1045164,9127443,407377,8919231
109563,124677,10786930,399521,12025098
108949,160243,9313249,937202,5934210
109060,620916,8743918,247532,12018270
109748,1929808,10038284,1106493,8095558
115319,2023356,9460546,564241,8071558
78777,125911,9494450,300238,10835534
136305,945906,9914074,308284,7956008
105635,199800,10135164,434515,11029481
107581,810294,9157502,148709,9038905
109996,2048842,8963817,852247,9948214
99338,328026,10904438,303162,8992626
109462,578772,7974893,390045,9222646
111789,909591,10961827,215751,10736733
115342,1130224,8880086,177010,8990140
349975,886776,10043947,837448,9237697
116922,930817,10093254,657127,11904871
107554,1084800,7912486,426777,6808096
108274,1007469,26022807,249037,11084045
108818,941847,3957867,217449,9131767
111261,2096200,12139134,2085641,8275038
280235,325111,9777453,151486,22590902
110068,627798,9014076,472485,6031630
106241,325643,10111200,303497,9957004
106939,1611410,8941897,328724,10036933
107043,339541,10089033,2042472,7897803
108121,629842,9852397,970041,11148207
109445,2010143,8979162,1924338,9959527
111977,135253,9172617,695926,8867901
135967,974657,10154910,2524377,8963023
142920,991927,9694660,906087,10055189
10093538,928931,10945535,2155998,9304130
10745320,1017584,8081587,410211,10658054
9195825,3156820,9998358,1219198,8992584
9921825,362097,8079393,1254012,10032974
8970912,461700,9878813,508234,9040108
9253590,913725,10047230,174892,9952406
9728796,1063003,8036258,454836,9011167
8978227,1028386,9899910,578410,9973347
9304064,918588,8930612,811797,9222925
9692330,946833,9158349,1547350,9729528
10076716,1065746,10027513,868722,9090486
7903192,973869,9850790,655339,9900800
9978002,1093858,8951207,157364,8086423
9067808,956458,10061792,1729320,10927122
9452383,975104,9290829,1109270,9016996
9466961,115081,10011994,1097982,9983279
9054461,852294,9739896,186648,9969391
9243742,1001371,9058693,1021906,9195934
10032174,951739,10066414,702513,10149536
9718780,1069841,9839779,941909,8674988
9236854,239195,9227148,187344,10451452
9120413,626423,787097,897902,8561309
9651468,614464,8023584,133585,10275119
1102664,436624,10864143,164714,8846536
6151289,1083184,8147084,466907,9835667
10719969,877720,10889673,1247261,8396033
8031957,957999,8130237,970526,9832492
10049598,651501,9828807,180510,10751707
9870653,497874,8345216,586436,7991790
9000581,447129,9791971,1137993,10006168
9200289,503810,9881985,105106,9026662
9786134,418920,9024166,766439,7151705
9298429,95482,9029994,494928,11804160
252112,249978,9402242,1578035,10094678
7549764,1228231,9513526,227046,7894891
8945334,353777,9037788,1030796,11107790
10045979,129198,9048973,128340,8989771
9031774,397995,9889114,1873745,206975
9943549,461247,10058468,131295,197814
8300328,598643,9026378,1794594,5571489
9693781,940489,8971417,159043,12970378
9923016,528578,11002613,2122582,8031672
8181441,419621,9014387,843697,9920799
11049202,590692,9218649,224417,9020599
9049151,499334,10828349,793028,9982314
9778722,458726,8932240,968299,9032150
9260217,1121995,11075598,3984725,9094132
10179117,332048,9083145,1848516,9989728
9502075,2242116,9836472,1013006,8231809
9976750,129294,8987877,411368,9858155
9006748,557322,10305171,432197,9815060
10350760,492394,9703201,250829,9170410
9650816,759646,9364607,816462,9835814
9983787,208487,9591393,205984,9162869
9112901,594323,9967797,1251715,9834184
10919067,433483,9499189,829136,9133160
8068154,612006,9569934,661130,9876716
10031549,957733,9092529,205701,9099236
10925121,122435,10854862,972476,9920579
7160934,325069,9069715,244106,10070208
10812942,114021,10892599,1580870,8954190
9031737,430101,8067612,397545,9908510
8978278,486462,12128134,677963,11120273
10378262,150877,7845843,170000,7979126
11760086,364674,11171944,766495,9972543
7817322,247134,8846095,142531,10906895
9368006,207911,9074889,2001265,7120399
9952163,81229,11980805,816528,10872419
9748870,143280,7153062,978482,8002648
10022041,931843,10902973,993707,10069152
10004338,392341,9086859,3112477,9147617
8849595,563317,9844580,921887,8799050
10079189,460376,9021398,1038464,9958870
9931208,1011843,9859328,1089979,10063163
8952388,983415,10023751,112296,9000993
10098426,955290,11111128,3725382,9003170
9897329,1058380,7986681,256122,9965255
10140245,875125,9024633,769876,8919456
8897279,4957794,10944487,179722,10054535
10306615,13123583,10049977,902216,8981588
9743822,9016696,8692567,143159,11030371
10022114,8958875,10144622,152828,7907593
7857823,7088102,10091738,1631818,10143561
9998750,12837359,8992744,922928,8111533
9121296,8982085,10109940,146107,9978817
8840663,10124022,9876556,176440,11142504
10216845,11019231,3011576,664858,8646121
8869889,8077874,4957052,4007165,10371526
8463101,10801775,187749,2020642,7580623
10614550,9966876,8764052,1216806,9406999
8892712,7939539,9987857,4742397,10665310
9098027,10146132,9392841,296043,8036413
3898352,9884424,9677757,1773271,10904939
2077345,10998594,10999391,174743,9020067
14033578,9113719,7921546,1704452,9004424
5528481,9960598,10982072,300357,10003225
14436513,8941776,9004587,3752174,8901692
6955424,10964093,9285595,156714,9092174
10019377,8145170,9757832,129439,9947983
10042669,11873017,9183667,131220,8023901
