CPU Low (ns),CPU Medium (ns),CPU High (ns),CPU Medium & Memory Intensity (ns),CPU High & Memory Intensity (ns)
9003372,188936,10015323,10672267,9005173
10940584,190192,9307987,7925642,10012913
7935696,268733,9771794,9818367,9151112
10892319,147248,9002463,9102553,8808224
8197552,203577,11060478,9028109,11107638
25939372,188073,8864689,10948179,8016595
4000513,257685,9065955,6884372,8874877
11044108,166320,10874624,11955045,10068094
8794703,180262,9150588,7104248,8968902
11010657,170563,10935991,9950598,9208136
10159398,175950,7881154,8964878,10190266
8796847,209487,11192507,10104693,8606942
9161975,216894,8925062,9058431,9936231
11038251,169864,9852921,8931034,9011656
8872467,180907,9046646,9073464,9957446
10037721,174933,10992016,9844095,8028668
9156320,202617,9900322,8943810,10009411
10738790,104726,7990131,9265805,9308520
9034988,179730,11183049,9133352,9723936
9990651,174545,9100742,10588742,8979247
10105847,175945,9896816,7269728,9010497
8984208,177893,9177793,10771980,8943894
10952701,204860,10774317,8096221,9945946
8075320,211289,8837904,9027159,9045551
11871956,160088,10082778,9260426,9012417
8123905,165631,9089681,10570690,8973563
10790274,163499,8854108,9095179,10047251
8163589,165519,10115481,9053438,8193609
9845536,151190,7917702,8136364,10140768
11119048,194422,11071635,9721424,9607553
8850402,157635,7832730,9974278,8012267
10165832,165538,11100495,9993649,11077523
8971821,162572,8947189,8114385,8005376
10929405,165872,10017053,9989975,9919832
9031474,128645,10009987,7882359,7916945
9859339,264800,9194385,11129532,11113235
9990398,63311,10850148,8922584,8288385
10010253,159578,9015946,8931255,9711402
8083495,166311,9807419,10027281,9920204
9957046,169698,9001420,8940496,7999960
8908087,287099,10371390,9000674,8981114
10033196,161034,8695068,8985120,10226597
9046595,163980,11131243,10139835,8827152
11004809,165663,8891016,8988495,9998893
7905177,166326,10038832,8961524,8999812
11043466,194673,9908743,10049042,2985618
9048809,77908,9990184,8882326,2915157
10908134,154375,9014223,8994005,12158479
9070749,161452,9936230,8943455,7921529
9105759,160297,9921854,10041482,9038529
11794098,174767,9143238,9084520,10919756
8066962,168469,10928809,9130599,8037224
10031210,101494,8872605,9777204,9944176
160366,214839,10129117,7947848,9042643
7803825,159235,8868944,11029135,8994628
9965316,196777,11229681,8099824,8998234
10071346,165706,8925440,9899444,8845770
9930108,361128,10002017,9007458,11089733
10871959,156722,8932344,7926444,8106205
7955677,166209,10988712,10542106,8809441
9981231,169677,9031290,9664089,10045573
9182825,168780,8882941,7761799,10050272
10103942,203592,11105556,10079056,8027545
10692190,102504,9015276,8937343,9875529
7063447,155520,9975230,9324278,8117901
11989458,158909,9869689,9651827,9935216
10152550,163715,9939208,8150254,9950452
9024188,162804,9206186,10919560,9142875
8737001,167779,1076969,7982091,9823232
985927,114711,1261525,9957696,10002832
6111820,206203,1981037,8961683,9964061
15158497,152697,13598637,9443415,9056945
5839999,162034,7001117,9639792,9113184
10968317,166099,10044924,8918778,11911691
130962,170529,10915768,8998374,10077357
7805043,266789,9055647,9018398,8121094
154946,154615,5968005,9989008,8936465
8924587,177432,14786710,9020622,11892577
10934146,168203,8087483,9918114,8854053
226060,168307,8966804,9105214,10043078
6771726,204109,4084323,11020923,8019571
176056,211999,3028086,8454945,12055378
84572,160842,11817509,10481257,7936745
5814158,163884,7946663,9015562,11051119
777143,152739,12041640,9972292,8915333
149358,138810,7940190,9062121,9281752
8964484,147858,9025065,10903891,10752906
950962,296301,14031552,9110881,10029445
7010191,161591,4918815,9861935,7872567
