CPU Low (ns)	CPU Medium (ns)	CPU High (ns)	CPU Medium & Memory Intensity (ns)	CPU High & Memory Intensity (ns)
7660979	9915941	11126658	9858691	11946604
9253363	9982120	8302081	9393007	7977447
8767929	8055347	9603269	8966703	9121829
10306473	8244811	10518523	8988037	9973512
8710998	10718476	10927153	9536615	8940042
10229059	10240855	7976438	11100882	10080887
8049237	6850294	10015045	8126279	61019687
10970273	10970415	11025039	10882095	9885727
8040035	8198653	9643813	9989677	8983768
9002451	10866801	8523226	8394600	11109404
9944549	8110363	11460688	10630089	8824317
10152324	10088630	7145764	8881906	9165737
8796485	8679209	11832572	11085530	9988497
9103181	8981149	8390185	7909509	9970532
9119401	10067248	10537331	9254758	8973626
8849083	8157527	9083596	9071023	9948481
10017975	10998073	9883808	10246815	9020483
9001412	7787419	9260369	8900445	9005740
8752584	10030299	10715261	9562796	9971542
10265298	9035483	9054490	10081553	8006975
8968535	9101406	9989306	8344385	11104490
8998451	9805806	9066176	9534092	8978563
8970274	9145877	9913739	9092069	9889801
11071662	10013648	10049534	10921635	9034025
7925147	9067239	8364545	8444343	8962825
10062753	8781196	10083048	10541620	9146957
8971888	9018912	8983304	9079349	9933498
9979004	10129902	8933364	10011756	9106915
9023358	8833628	22773968	9917680	10924584
9954455	9130715	5263430	9551841	9043397
10055679	9060045	10574937	10456287	9908972
8082354	8958452	10484334	7993268	9012836
9902263	10057635	8942013	10020189	10075996
8206606	8805330	10568061	8995434	9891278
10787754	10086487	8512769	10081670	8143098
7976838	6124507	9646923	8968458	10863086
8961403	14080145	10291631	9399455	8966838
11087716	5857568	9045005	9611078	9073299
7991517	10876094	9653252	8357556	8929191
9997664	10334155	7831402	10042869	9040369
9067794	6701571	10241819	9564606	10004510
8907259	10995021	8802123	10042493	8892485
8998999	9043096	10477443	10019859	9087398
9027443	9230561	8547392	9350287	10132478
9935952	9004667	9426019	10109630	9834419
9036613	9890227	8634107	8924426	8162634
8971982	9056055	10299625	9647409	9863483
9052492	8893005	9056009	10363012	10074287
9931757	9899705	9609907	8984073	8932083
9069875	8953164	11012278	10005158	10015986
8916802	9082810	7879108	9552671	9884381
10043641	8908946	9086874	11126580	9024275
8722242	11015068	10386746	8942697	10070067
9274813	7974231	8992401	50897332	9128287
9044339	10059716	9101216	9078376	9872081
9768006	10080064	8479892	9362858	9973400
10167966	8087956	11150993	9148905	9032577
8004928	8984541	7852802	10411987	8907918
9769370	11000226	9435214	9513721	9084487
9292729	6867844	9001769	9503666	12102292
9059148	12175123	10597060	9962097	7187023
9914854	6983859	9394231	9056583	9717841
8110570	9883943	8994273	11065085	9020917
10672209	9155764	9592680	7892022	10171096
8273989	9749533	9938697	9509733	9898628
10012276	9265552	9063496	4640851	7861660
8895248	9884007	9485795	2987092	9284157
9022760	8065633	8848416	10320583	9691522
11085431	9760367	9651838	9573668	9039307
6878408	9265245	8395101	9022529	9959865
10025606	9737362	9960713	9416269	10103032
8978251	8026511	62683357	9974954	9946656
54042241	10085724	8307156	9091521	10050537
7983019	53931094	9896922	9466855	9003864
10051576	3950202	10724115	9456543	10301187
8924681	10991099	9032232	8998742	8691278
9086090	10226782	10027439	10556983	9911870
13046586	7762863	8987404	8437796	9043516
5959093	10141527	10913829	11076890	8980433
10636395	8951132	8451478	8541955	9208909
8318150	9066468	11005593	9963723	9803007
10030296	9863151	8986224	9478343	9219831
9189268	9056333	9647526	10001944	9757590
9867001	9044801	8917153	8972675	9158118
9104703	9094309	9499325	11124420	9089097
9833753	9978040	9520094	8466668	9804965
8973974	7135046	9421564	9021609	8941531
10032306	13836496	9030868	8122928	9140882
8929728	6050984	9630212	11242868	9803571
9005177	9900902	8148063	9007620	9030154
8981046	10041773	10211233	9749766	10065849
10001968	6942940	9608736	8913536	9912890
8993149	10949834	8400091	9336629	9289856
8995845	10008135	9590663	10040974	10080573
9148135	8000379	8958944	9490264	9642714
9948910	11104278	9413567	9020373	9984798
8931517	7075983	8868261	9501901	9253384
10077552	10991099	9813863	9913597	51844717
8010040	7815264	9364845	9073829	7985627
9665820	10983680	8905735	10597851	9923340
10039217	8197533	9617279	8873924	10052277
8191941	9785926	10442071	10020783	8945880
9782508	8146349	8051986	9449366	9051577
9312727	11167381	9479611	8538721	10024696
9974301	7907471	8313157	10044327	8123781
7972543	8779330	10679018	9452636	10814578
10001236	12108317	8493984	9602409	8975427
9046665	5893393	8975470	8893476	10186693
9943984	11058232	10039268	9453373	9829985
10148373	8948427	9984152	9031812	9124103
8950364	10019170	9064924	9978984	9885940
9886089	8008738	8495358	9626341	9117785
9000948	10957498	8987941	9437055	9907677
8804823	8142967	9480493	8976838	9244024
9300785	10060229	8960025	9656203	9766005
9933598	7905233	10559609	9882140	8968240
8969927	11085470	9394791	9493130	10067929
9011002	8030165	9184935	9644383	9048578
9096035	8800974	10468346	8800735	10982965
9851953	10137358	9427222	9037157	8093693
9151847	8868784	10015708	10438227	9963040
8901446	9987451	11670772	8834851	8931655
9015512	10052482	8446332	10723648	10042498
10050677	10177621	9884950	8988690	9938251
9032755	8907864	8576460	9482664	9127653
8942020	10984564	10401668	10011140	10008701
9965380	7979995	8825913	8967147	9857578
9122913	10150896	10750330	8989237	9248675
8979865	9784056	9447752	8769598	10833876
8929002	10971127	8967523	9766436	7950050
9973437	8962259	10520509	10046128	10096606
9091822	9088994	9509710	8984848	9965649
8981072	11037963	8991879	10066798	8874326
10023904	8146681	9576898	9410982	11028068
8933781	11969596	9431662	9000990	7325882
9050006	7854432	10975066	9635372	9746365
10008737	9986511	9110385	9363686	9043376
7949553	11053463	8436048	8602366	10950525
9740530	7942975	8429194	9960746	7928445
8191467	11115517	9997541	9268543	10072784
9811079	7811523	8965162	9765478	8904012
11318597	10091534	9045793	10033706	10154023
7931071	11034709	9579423	9387808	8975421
9864677	8971230	10007396	8761197	8893139
7125597	10126272	8456526	66374327	8945542
12967710	9103587	8931845	4425172	9213449
7050104	9860520	9998364	13062010	10795188
9909159	10809822	9016890	5332068	10195467
9054687	8093532	9056344	11010807	8890492
9116090	9911648	9503916	9680894	9943787
8937111	11044533	9079479	8350865	10032470
9783929	8078469	9388447	11486409	9207726
8963953	10901106	8980513	7514574	8872000
10194226	9031572	9613625	9550048	10941618
7980109	11044244	9971157	9459298	8088765
10126502	7895848	8374447	8942107	9908827
8907052	10211909	8960526	11851256	8971513
9007755	11026630	10117151	8883594	9050550
10024634	8834097	9568333	8302233	11047354
8935171	9010302	8368866	9806370	6940507
4743787	10934887	9611276	9947343	10312505
1277018	9135714	9372362	9818907	9704980
12004406	10904961	55131735	9441167	9957818
7325964	73249082	2871913	9526935	9028246
12741085	9945970	12098891	10518838	9084058
57919435	8985827	7508783	9577222	8949371
10976759	9990106	81664	8882115	9000910
8021311	9873937	9336634	8566469	9881428
8973776	9917550	8050537	9686536	9977249
10061829	9220072	10537623	10319185	10034114
9030534	10780185	9052404	8458546	8994118
10011977	9087340	9328099	8999541	10989021
7905733	9993798	8614656	10121989	8094319
10015108	8977443	10034325	9426891	9925288
9027661	10226414	9017020	9019597	10012147
10002680	9773403	9402063	8629112	8944751
8998279	10092520	8969786	10818426	9018518
9718581	8856919	9003187	9035028	10058277
8395005	10153881	8943906	10001223	8400575
9790351	8992246	10039733	8998179	9582556
10066273	8839066	9059865	10500993	9251218
8724253	10157534	9937341	9920322	9683333
9387610	8963653	8977071	7826957	11209315
10849114	9977053	10636023	11144343	7821009
9003637	7915353	9406739	8529025	9144644
10049761	12043546	10005326	10025572	9913340
8990282	8046850	8981970	9056078	9007339
10216491	10104777	10571908	10047002	64127429
9593583	10020595	9490360	7869016	8962947
11187654	8898515	8915983	11150685	10041164
7969861	9942021	9567778	9076414	8813706
9976845	7964986	9455062	8918181	9071568
8997592	10986635	8974460	8977814	10975734
9986334	8057884	8997101	10424193	8066482
9809150	10096843	10063257	8498315	9987329
10320080	8932227	8988577	10108758	9980566
9910312	10160905	8970544	8935917	8194211
9087677	6862499	11036024	8446457	9882682
9919647	11903127	9617053	10457586	9962241
11019389	9124003	8004544	10071014	9975597
9136989	8966725	9961550	8118793	9053125
8932619	9950078	9417040	10809713	9888791
9964631	9121337	9033538	11183464	7918414
10014281	10841151	9550580	7925841	10156693
10005798	8056982	9059363	10926406	8978825
8921034	10090550	8872397	7034475	8914347
9755668	10024724	9419876	12421955	12042032
9293982	8855941	8996893	6789130	7972509
8945398	9100163	10024349	11200185	9929913
10056879	8958078	9039252	8550942	9062621
8972026	9129542	8991365	9030379	10027945
9779313	10912406	10964302	9410169	9094815
9218326	7974999	8762318	9037777	9227864
10051242	9880644	8837224	9546125	9040552
8966886	9088573	10037498	10002100	9596712
9003762	11027260	10362385	8155593	9053731
9707267	9104370	8686333	11270896	9954878
10364563	9781959	10390376	8006683	9392823
8913980	9173620	1976247	9556045	8751505
8993486	10854080	5034602	11040545	10131889
10048806	8111897	11990474	8415604	8972105
7897218	9878732	7917989	10615020	9691156
11194202	10193696	9968554	8925810	8985564
6610981	9896648	9752535	9003791	9386964
11245140	9862048	8335344	9907081	1670327
8232418	8031182	9653511	10157708	6985510
9854590	10161226	8951101	8998960	10058256
9903393	9878267	9424762	9986971	9198514
9056327	9017889	9922621	9003834	10818894
9049404	11055479	9607397	8979658	8977223
9885801	7860699	10424552	9438995	9073084
8958772	12299243	9065710	9560243	10829079
9162168	6881490	9533036	9947682	8063555
10021567	11985045	8397098	8427175	10071358
8017529	7002252	11107826	11064287	9470632
9875711	11951162	8531143	61572261	8885605
8985828	8006148	9062743	9007288	9577987
9018119	10029800	8908667	9975464	9388850
9940283	7890138	8977110	8433847	9635832
10118840	11031457	9413712	9978196	9073943
8030910	8126166	9595065	10572206	9868728
9950420	8960548	9406348	8485258	8995073
8991807	10882260	10050853	8733380	11070662
8915060	8962797	9928686	10814349	9094151
10060504	10979034	8020157	8898929	8991234
8956256	8064567	9968917	9490173	10990499
11087643	10919171	8702938	9060669	7896509
8710765	9114701	12901424	4981179	10110935
10213829	9959572	7480074	3027176	10119558
10041051	8975037	11628804	11521810	8827424
8966424	10977059	8468509	8969473	10136924
12072017	6989818	9922364	10023503	8892466
6894831	10168162	10008112	9914399	9965215
11080312	8875884	8577586	8994731	9062559
22023546	50994216	11334295	9569037	11044100
48759868	8992800	60697466	9978059	7178977
9196942	9069444	8267985	9484694	10808641
10034958	11015142	9686007	8961847	8945276
8999037	7933156	10973318	9492478	8959724
9196435	9034410	7238730	8941097	10056809
9723790	10060688	10157336	10111414	8994179
8755791	8972034	10091470	8493046	9127574
9080425	9975410	8527572	9073165	9919445
10164748	8094193	10351901	11014690	9009153
9024711	9977178	9020065	9225866	8915012
8993666	8944602	10549788	10830116	9126408
9011105	8420903	9024366	8921249	9982867
10021950	10499187	9416989	7403187	8942877
8966759	12120643	10661171	10002962	9918432
8957292	7938218	8388201	11059888	10045672
9034665	11202561	10594582	9630312	10063692
10039164	9764628	8938515	10024933	7801644
8941729	8992761	8112216	9838688	11043610
8760028	9158334	10968622	9108679	7951420
10306712	9985915	7907674	8299340	10298139
8661584	8883397	11019023	10070073	9732064
9297882	9961418	7360172	9974159	8974555
9103709	9032983	10070131	9004732	9375124
9846027	9150128	8966659	9499662	9701927
10075380	9945765	8978554	9252205	62253491
7935644	8867588	10056982	11872904	8848930
9063955	11025954	8504867	7398915	9963443
9930689	8117140	9467956	9484881	8930629
9789813	10917923	9509942	9022169	9085253
9267756	9036415	9463485	10471530	9934198
8000623	9028588	8995762	9996345	10064809
12102473	8897017	9658169	10003513	8970438
6594642	8949517	9388029	9106599	10373776
9236319	10188013	9036862	8434595	9614928
10001678	7836121	8507016	9487828	8956475
9046814	10980299	10396512	10517434	10053095
8982258	9231271	9049296	8425017	8948574
10067678	7773292	9013613	10056389	9994781
8956256	11052194	9568080	9506078	9077234
9299453	9114975	9035249	10071061	9988296
9668902	8867298	9427945	9959464	8056367
9076685	10040192	8953351	8024747	9397826
8978027	10076690	10021306	11471674	11468172
9949617	9004843	8521641	8992703	6950060
9005099	9853086	10027950	8921410	10035196
9027657	9083894	8402085	10027384	9103136
9798496	9075878	10612622	9023261	9355072
9196974	9936923	8461748	8745629	9491812
8999149	8963712	10555254	10213140	9139372
9168984	9998153	8373288	9575712	9986926
9876421	7929793	8991346	8018354	10028800
8999987	12045301	9636504	11992636	8900055
11083433	8123989	9401415	7483297	9313388
9975926	10885344	9636519	9571718	10690388
7633023	9006974	8331284	8887650	8962052
10240129	10022247	10059933	10001652	9180553
7058674	8085670	8937473	9020243	10303523
12973062	10096172	11020741	10101033	8652091
5098682	8827617	7520655	9989606	10317130
12928696	9961196	9473034	8908324	8657138
8018507	9027544	9522653	11013212	6922990
9011965	8984068	10157854	8949743	143538
8905468	9972048	8290715	9523566	11089265
9999553	9229317	10007162	8830040	8962358
9080078	8752862	9169767	10194164	10017328
8970504	10033724	10459352	8488037	8959188
9988371	8996379	8959842	10018437	9790637
8754250	9974790	9993054	8131511	10091065
9365365	9169242	9370939	10890599	8107063
9624186	8839287	10053292	8934026	10012420
9293302	9190755	9030769	9990014	8824978
7917083	8819222	10036600	8427746	10017869
10813193	11028592	9979974	51026381	9014903
8307142	7952810	9022731	46074	10210953
10965773	9209252	11034509	8952632	9780255
6792094	11049857	8960040	8038947	9270694
12950230	7788501	7977765	9135676	10043718
6320662	10933419	8656108	14444601	9047297
9935924	8035669	10336171	6384495	9834375
10023728	10046779	9597120	10579181	9178312
7951212	9136713	9408750	8125638	11909898
11164147	8986532	8985497	10876768	7790887
6845075	10028190	9960824	8508945	9010524
11912399	8755418	8586000	9960628	8942027
7032853	9043542	10012787	8945309	10236058
9950762	9123453	10041640	8639661	8685842
10108817	9937826	8431410	10403559	10005165
