CPU Low Jitter (ns)	CPU Medium Jitter (ns)	CPU High Jitter (ns)	CPU Medium & Memory Intensity(ns)	CPU High & Memory Intensity(ns)
985156	99004	9938366	10013480	9409520
1087731	121984	811172	4911949	10642627
110101	217598	822762	1080604	8965251
751474	133644	198480	11881019	10086906
996635	250682	4973201	8018441	8899908
596523	238827	966617	11055634	11142410
1583025	218713	2920197	7840140	4997478
1014555	239277	3998015	10123029	1008962
1814645	207040	88001	9000330	14074951
135532	228363	6083151	9952466	7069670
2838809	294070	1735081	11092800	9966269
1075086	290362	314169	7809204	10817607
2981561	152299	174601	11217984	8846777
138446	434372	7725069	8856046	6290663
865056	176336	4929905	10007308	13806431
1992301	281536	228954	9010425	8879551
1216495	155077	207538	11136647	11163554
748360	227921	13573237	8978278	8001331
341430	254868	8862752	10886938	10967135
1671715	278468	8992560	7893540	8910434
2101000	150565	3122746	11088125	10121875
118768	290991	5223372	8929513	10100492
1715215	188613	5677150	9947839	9081648
2082538	445255	1053689	9025879	10952736
457502	153422	798052	11095199	8939303
54109	214486	290823	8863229	8767045
111239	256552	747926	10119378	11083340
399183	270488	176002	8933278	8833550
146933	277332	814101	9925687	10062430
268993	259320	1716455	9982252	9048260
1092341	225369	1734776	7919817	9852457
358823	246825	665596	11197128	11015706
679302	203797	144448	9196374	8091257
709772	207923	1650665	9767820	12049664
695185	247785	987995	10045353	7239944
567973	266631	234980	9284559	5685350
391983	300626	795331	10606780	7922347
94287	263553	2054659	7916064	5184544
477523	212947	162549	13126457	838772
1428635	219824	782145	5903369	95548
1023116	199903	1985198	10846153	4973598
193976	203457	13975105	10026603	142295
340694	292680	5108178	9977647	11690443
950727	222020	8901445	8997157	10060645
1410360	404285	12851157	10048907	239895
2049388	231568	220227	10052648	243894
102829	237195	8052985	8921057	3815486
84245	152765	2869234	179416	12599102
1855583	229159	163042	420625	9073430
5031670	253584	671125	381516	2035255
137017	225438	250623	4120055	6141546
831040	252090	2824922	13028639	10772841
976295	313164	229204	9042009	9123040
